Publication,Website,Category,Total Score,Priority Tier,RSS Status,RSS Feed URL / Hub
Senior Housing News,https://seniorhousingnews.com/,Senior living trade,17,Tier 1,Yes,https://seniorhousingnews.com/feed
McKnight's Senior Living,https://www.mcknightsseniorliving.com/,Senior living trade,17,Tier 1,Yes,Feed available; exact endpoint not surfaced in search
Seniors Housing Business,https://seniorshousingbusiness.com/,Senior housing real estate,17,Tier 1,Not located,
Senior Living News,https://www.seniorlivingnews.com/,Senior living trade,17,Tier 1,Yes,Feed available; exact endpoint not surfaced in search
Senior Living Executive,https://www.argentum.org/argentummedia/senior-living-executive-magazine/,Association publication,15,Tier 2,Not located,
AHEAD,https://www.argentum.org/argentummedia/ahead/,Association newsletter,14,Tier 2,Not located,
Provider Magazine,https://www.providermagazine.com/,Long-term care trade,15,Tier 2,Not located,
McKnight's Long-Term Care News,https://www.mcknights.com/,Long-term care trade,17,Tier 1,Not located,
Skilled Nursing News,https://skillednursingnews.com/,Skilled nursing trade,17,Tier 1,Yes,https://skillednursingnews.com/feed
iAdvance Senior Care,https://www.iadvanceseniorcare.com/,Senior care trade,16,Tier 2,Yes,Feed available; exact endpoint not surfaced in search
Home Health Care News,https://homehealthcarenews.com/,Home care/home health trade,17,Tier 1,Yes,https://homehealthcarenews.com/feed
Hospice News,https://hospicenews.com/,Hospice/palliative trade,14,Tier 2,Yes,https://hospicenews.com/feed
Home Health Line,https://homehealthline.decisionhealth.com/,Home health trade,12,Tier 3,Not located,
HomeCare Magazine,https://www.homecaremag.com/,Home care/HME trade,16,Tier 2,Yes,http://homecaremag.com/combo/feed
HME Business,https://hme-business.com/,Home medical equipment trade,14,Tier 2,Not located,
Mobility Management,https://mobilitymgmt.com/,Mobility/rehab trade,13,Tier 3,Not located,
Generations Journal,https://generations.asaging.org/publications/generations-journal/,Aging professional / policy,15,Tier 2,Yes,https://generations.asaging.org/feed
Generations Today,https://generations.asaging.org/,Aging professional / policy,17,Tier 1,Yes,https://generations.asaging.org/feed
LeadingAge,https://leadingage.org/,Aging services association media,15,Tier 2,Not located,
Journal of Aging Life Care,https://www.aginglifecare.org/,Aging care management,12,Tier 3,Not located,
Inside ALCA,https://www.aginglifecare.org/,Association publication,10,Tier 4,Not located,
AARP Public Policy Institute,https://www.aarp.org/ppi/,Aging policy/research,13,Tier 3,Not located,
Next Avenue,https://www.nextavenue.org/,Aging-focused media,16,Tier 2,Needs recheck,
American Society on Aging,https://asaging.org/,Aging professional association,15,Tier 2,Yes,https://generations.asaging.org/feed
National Council on Aging,https://www.ncoa.org/,Aging nonprofit/professional,14,Tier 2,Not located,
USAging,https://www.usaging.org/,Aging services association,15,Tier 2,Not located,
Aging and Disability Business Institute,https://www.aginganddisabilitybusinessinstitute.org/,Aging services business,14,Tier 2,Not located,
Multi-Housing News - Senior Housing,https://www.multihousingnews.com/senior-housing/,Senior housing real estate,16,Tier 2,Not located,
Commercial Property Executive,https://www.commercialsearch.com/news/,Commercial real estate,13,Tier 3,Not located,
REBusinessOnline,https://rebusinessonline.com/,Commercial real estate,15,Tier 2,Yes,https://rebusinessonline.com/feed/atom/
Connect CRE,https://www.connectcre.com/,Commercial real estate,13,Tier 3,Yes,RSS available; use site's 'Get RSS Feed' link
Bisnow,https://www.bisnow.com/,Commercial real estate,13,Tier 3,Yes,Multiple feeds by market + home editorial
GlobeSt,https://www.globest.com/,Commercial real estate,12,Tier 3,Yes,https://www.globest.com/rss/
Senior Housing Investor,https://www.irei.com/,Senior housing investment,12,Tier 3,Not located,
Environments for Aging,https://www.environmentsforaging.com/,Senior living design,15,Tier 2,Not located,
Healthcare Design,https://healthcaredesignmagazine.com/,Healthcare design,12,Tier 3,Not located,
Building Design+Construction,https://www.bdcnetwork.com/,Architecture/construction B2B,13,Tier 3,Yes,Feed available; exact endpoint not surfaced in search
Facility Executive,https://facilityexecutive.com/,Facilities B2B,12,Tier 3,Yes,https://facilityexecutive.com/feed
Modern Healthcare,https://www.modernhealthcare.com/,Healthcare business,12,Tier 3,Yes,Multiple feeds / RSS hub
Healthcare Dive,https://www.healthcaredive.com/,Healthcare business,14,Tier 2,Yes,https://www.healthcaredive.com/feeds/news/
Fierce Healthcare,https://www.fiercehealthcare.com/,Healthcare business,14,Tier 2,Yes,https://www.fiercehealthcare.com/rss/xml
HealthLeaders,https://www.healthleadersmedia.com/,Healthcare executive,12,Tier 3,Not located,
Becker's Hospital Review,https://www.beckershospitalreview.com/,Healthcare executive,13,Tier 3,Yes,https://www.beckershospitalreview.com/rss-feeds/
Chief Healthcare Executive,https://www.chiefhealthcareexecutive.com/,Healthcare executive,13,Tier 3,Not located,
MedCity News,https://medcitynews.com/,Healthcare innovation,13,Tier 3,Yes,https://medcitynews.com/feed
Healthcare IT News,https://www.healthcareitnews.com/,Health IT B2B,12,Tier 3,Yes,Multiple site/topic feeds
MobiHealthNews,https://www.mobihealthnews.com/,Digital health B2B,12,Tier 3,Yes,Multiple taxonomy/topic feeds
Managed Healthcare Executive,https://www.managedhealthcareexecutive.com/,Payer/managed care B2B,14,Tier 2,Needs recheck,
BenefitsPRO,https://www.benefitspro.com/,Benefits/retirement B2B,12,Tier 3,Yes,Feed available; exact endpoint not surfaced in search
PLANADVISER,https://www.planadviser.com/,Retirement plan B2B,12,Tier 3,Yes,https://www.planadviser.com/pa-rss/
PLANSPONSOR,https://www.plansponsor.com/,Retirement/benefits B2B,12,Tier 3,Yes,https://www.plansponsor.com/ps-rss/
NAPA Net Daily,https://www.napa-net.org/news-info/daily-news,Retirement adviser B2B,11,Tier 3,Not located,
InvestmentNews,https://www.investmentnews.com/,Financial adviser B2B,12,Tier 3,Yes,https://www.investmentnews.com/feed
ThinkAdvisor,https://www.thinkadvisor.com/,Financial adviser B2B,13,Tier 3,Yes,https://feeds.feedblitz.com/ThinkAdvisor
Financial Advisor Magazine,https://www.fa-mag.com/,Financial adviser B2B,12,Tier 3,Yes,https://www.fa-mag.com/rss.php
RIABiz,https://riabiz.com/,Wealth management B2B,9,Tier 4,Not located,
InsuranceNewsNet,https://www.insurancenewsnet.com/,Insurance/retirement B2B,16,Tier 2,Yes,https://insurancenewsnet.com/feed
