Journal,Why add,Primary gap,PubMed strategy,Priority
Journal of Housing for the Elderly,"Directly covers housing, communities and aging in place.",housing/aging in place,journal filter where indexed; otherwise TOC/RSS,P0
Journal of Aging & Environment,"Built environment, age-friendly communities, place and mobility.",environment/housing,journal filter where indexed; otherwise TOC/RSS,P0
Journal of Long-Term Care,"Long-term care systems, workforce, practice and policy.",LTSS/operations,TOC/RSS/Crossref if PubMed coverage incomplete,P0
Health & Social Care in the Community,"Community care, social care and integrated services.",home/community care,PubMed/Crossref,P0
Journal of Family Nursing,Family systems and caregiving.,family caregiving,PubMed,P1
Gerontechnology,Technology and aging.,age-tech,TOC/RSS/Crossref,P0
Assistive Technology,Accessibility and assistive devices.,age-tech/accessibility,PubMed/Crossref,P1
Disability and Rehabilitation: Assistive Technology,Digital/assistive tech and functioning.,age-tech/accessibility,PubMed,P1
Telemedicine and e-Health,Telehealth and remote care.,digital health,PubMed,P1
Medical Care,"Health services, utilization and policy.",health services,PubMed with aging filter,P1
Health Services Research,"Health-system access, quality and costs.",health services,PubMed with aging filter,P1
The Milbank Quarterly,Health policy and systems.,policy,PubMed/Crossref with aging filter,P1
Journal of Health Economics,Economics of health and care.,economics,Crossref/TOC with aging filter,P1
Health Economics,"Costs, insurance and utilization.",economics,PubMed/Crossref with aging filter,P1
"Journal of Health Politics, Policy and Law",Health policy and politics.,policy,Crossref/TOC with aging filter,P2
"Work, Aging and Retirement","Older workers, retirement transitions and ageism.",work/retirement,Crossref/TOC,P0
Transportation Research Record,Transportation access and mobility research.,transportation,Crossref with older-adult query,P2
