Source,Organization,Type,Primary topics,Automation,Priority,URL,Notes
NIC MAP / NIC research,National Investment Center for Seniors Housing & Care,industry data/research,occupancy; rents; supply; demand; transactions; senior housing,web monitor/API/licensed where available,P0,https://www.nic.org/,Core senior-housing market intelligence.
LeadingAge research,LeadingAge,association research,LTSS; housing; workforce; financing; aging services,web monitor,P0,https://leadingage.org/research/,Nonprofit provider research.
Argentum,Argentum,association research/media,assisted living; workforce; operations; policy,web monitor,P0,https://www.argentum.org/,Industry surveys and policy.
AHCA/NCAL research and data,AHCA/NCAL,association data,nursing homes; assisted living; staffing; Medicaid; quality,web monitor,P0,https://www.ahcancal.org/,Provider-side data and policy.
American Seniors Housing Association,ASHA,association research,senior housing demand; development; consumer research,web monitor,P1,https://seniorshousing.org/,Consumer and investor research.
CBRE research,CBRE,commercial real estate research,cap rates; valuations; investment; construction; senior housing,web monitor,P1,https://www.cbre.com/insights,Filter for senior housing/care.
JLL research,JLL,commercial real estate research,capital markets; construction; senior housing,web monitor,P1,https://www.us.jll.com/en/trends-and-insights/research,Market reports.
Cushman & Wakefield research,Cushman & Wakefield,commercial real estate research,senior housing; development; investment,web monitor,P2,https://www.cushmanwakefield.com/en/insights,Market reports.
Welltower investor relations,Welltower,REIT disclosures,occupancy; rent growth; operator performance; development,RSS/web monitor,P1,https://welltower.com/investors/,Public-company signal; commercial source.
Ventas investor relations,Ventas,REIT disclosures,senior housing operating portfolio; occupancy; investment,RSS/web monitor,P1,https://ir.ventasreit.com/,Public-company signal; commercial source.
Brookdale investor relations,Brookdale Senior Living,operator disclosures,occupancy; rates; labor; margins; operations,RSS/web monitor,P1,https://brookdaleinvestors.com/,Operator signal; commercial source.
A Place for Mom research/data releases,A Place for Mom,marketplace research,consumer demand; costs; senior living search behavior,web monitor,P2,https://www.aplaceformom.com/caregiver-resources/articles,Commercial source; verify methods.
