Source,Organization,Type,Primary topics,Automation,Priority,URL,Notes
AARP Public Policy Institute,AARP,policy/research,LTSS; caregiving; retirement; livability; older consumers,RSS/web monitor,P0,https://www.aarp.org/ppi/,Major recurring aging research.
National Alliance for Caregiving,NAC,nonprofit research,family caregiving; caregiver economics; state data,web monitor,P0,https://www.caregiving.org/research/,Caregiving in the U.S. is flagship source.
KFF,KFF,health policy research,Medicare; Medicaid; LTSS; nursing homes; affordability,RSS/web monitor,P0,https://www.kff.org/,Policy/data journalism friendly.
Urban Institute,Urban Institute,think tank,retirement; caregiving; LTSS; housing; older workers,RSS/web monitor,P1,https://www.urban.org/,Strong economics and policy work.
RAND,RAND,think tank,aging; health; caregiving; retirement; long-term care,RSS/web monitor,P1,https://www.rand.org/topics/aging.html,Evidence-heavy research.
Pew Research Center,Pew Research Center,survey research,demography; generations; family; retirement; technology,RSS/web monitor,P1,https://www.pewresearch.org/,High-media-value public opinion and demographic work.
Commonwealth Fund,Commonwealth Fund,health policy research,Medicare; care delivery; affordability; health systems,RSS/web monitor,P1,https://www.commonwealthfund.org/,Health-system angles.
National Council on Aging,NCOA,nonprofit research/resources,benefits; falls; financial security; health; aging well,RSS/web monitor,P0,https://www.ncoa.org/,Both research and B2C distribution.
PHI,PHI,workforce research,direct care workforce; wages; turnover; home care; nursing homes,web monitor,P0,https://www.phinational.org/,Best-in-class direct-care workforce source.
Center for Retirement Research at Boston College,CRR,academic policy center,Social Security; retirement; pensions; older workers,RSS/web monitor,P0,https://crr.bc.edu/,Regular working papers and briefs.
Employee Benefit Research Institute,EBRI,research institute,retirement confidence; savings; health costs; caregiving,web monitor,P0,https://www.ebri.org/,Recurring surveys with news value.
Bipartisan Policy Center,BPC,policy think tank,housing; retirement; long-term care; health policy,RSS/web monitor,P2,https://bipartisanpolicy.org/,Useful policy proposals/reports.
Alzheimer's Association,Alzheimer's Association,nonprofit research,dementia prevalence; caregiving; costs; research,RSS/web monitor,P0,https://www.alz.org/alzheimers-dementia/facts-figures,Annual Facts and Figures.
Family Caregiver Alliance,FCA,nonprofit resource/research,caregiving; dementia; policy; state resources,web monitor,P1,https://www.caregiver.org/,Research plus B2C distribution.
USAging,USAging,aging network,AAAs; transportation; housing; social connection; caregiving,web monitor,P1,https://www.usaging.org/,Local aging-network intelligence.
Milken Institute Future of Aging,Milken Institute,think tank,longevity economy; age-friendly communities; finance,web monitor,P2,https://milkeninstitute.org/centers/future-aging,Broader longevity framing.
