Source,Organization,Type,Primary topics,Geo level,Automation,Priority,URL,Notes
Administration for Community Living,ACL,government reports/data,aging services; caregivers; LTSS; elder rights,national/state,RSS/web monitor/API where available,P0,https://acl.gov/,Core aging-services source.
"Aging, Independence, and Disability Program Data Portal",ACL,government data,aging programs; disability; services,national/state/local,download/API,P0,https://agid.acl.gov/,Program-level aging data.
National Institute on Aging data resources,NIA,research data hub,aging; retirement; cognition; caregiving,national/international,catalog monitor,P0,https://www.nia.nih.gov/research/dbsr/data-resources-behavioral-and-social-research-aging,"Gateway to HRS, NHATS, NACDA and related studies."
Health and Retirement Study,NIA/University of Michigan,longitudinal survey,retirement; wealth; health; family; cognition,national,data release monitor,P0,https://hrs.isr.umich.edu/,Major longitudinal 50+ dataset.
National Health and Aging Trends Study,NIA/Johns Hopkins,longitudinal survey,functioning; disability; independent living; care,national,data release monitor,P0,https://www.nhats.org/,Linked to National Study of Caregiving.
National Study of Caregiving,NIA/Johns Hopkins,caregiving survey,unpaid care; caregiver burden; hours; supports,national,data release monitor,P0,https://www.nhats.org/researcher/nsoc,Companion to NHATS.
American Community Survey,U.S. Census Bureau,government survey/API,age; housing; disability; income; migration; households,national/state/county/tract/place,API,P0,https://www.census.gov/programs-surveys/acs.html,Essential localization engine.
Population 65+ ACS subject table S0103,U.S. Census Bureau,government table/API,older population demographics; income; disability; housing,national/state/local,API,P0,https://data.census.gov/table/ACSST1Y2024.S0103,Excellent reusable baseline.
Current Population Survey,Census/BLS,government survey,work; retirement; income; caregiving-adjacent,national/state,API/download,P1,https://www.census.gov/programs-surveys/cps.html,Useful for older workers and retirement.
SIPP,U.S. Census Bureau,government survey,income; programs; disability; household dynamics,national,API/download,P1,https://www.census.gov/programs-surveys/sipp.html,Benefits and economic-security angles.
CDC Healthy Aging Data Portal,CDC,government data portal,caregiving; cognition; mental health; preventive care,national/state,download/web monitor,P0,https://www.cdc.gov/healthy-aging-data/data-portal/index.html,State-level healthy-aging indicators.
BRFSS,CDC,government survey,caregiving; cognitive decline; chronic disease; behavior,national/state,download/API,P0,https://www.cdc.gov/brfss/,State comparison engine.
NHANES,CDC/NCHS,government survey,nutrition; labs; physical health; cognition,national,download/API,P1,https://www.cdc.gov/nchs/nhanes/,Deep health/nutrition data.
NHIS,CDC/NCHS,government survey,health; insurance; disability; access,national,download/API,P1,https://www.cdc.gov/nchs/nhis/,Large recurring health survey.
National Vital Statistics System,CDC/NCHS,government data,mortality; causes of death; life expectancy,national/state/county,download/API,P1,https://www.cdc.gov/nchs/nvss/,Useful for longevity and mortality stories.
CMS Care Compare datasets,CMS,government provider data,nursing homes; home health; hospice; hospitals,national/provider/local,API/download,P0,https://data.cms.gov/provider-data/,Facility-level quality and comparison stories.
Medicare Current Beneficiary Survey,CMS,government survey,Medicare; access; costs; health status,national,data release monitor,P0,https://www.cms.gov/data-research/research/medicare-current-beneficiary-survey,Core Medicare beneficiary source.
Medicaid/CHIP data,CMS,government administrative data,Medicaid; LTSS; HCBS; enrollment; spending,national/state,API/download,P0,https://data.medicaid.gov/,Critical LTSS and state-policy source.
HUD USER,HUD,government research/data,housing; affordability; accessibility; older renters/homeowners,national/state/local,RSS/web monitor/API,P0,https://www.huduser.gov/,Aging-in-place and housing research.
American Housing Survey,HUD/Census,government survey,home conditions; accessibility; costs; remodeling,national/metro,download/API,P0,https://www.census.gov/programs-surveys/ahs.html,Excellent aging-in-place source.
Bureau of Labor Statistics,BLS,government labor data,older workers; direct-care workforce; wages; employment,national/state/metro,API,P0,https://www.bls.gov/,Workforce and retirement transition stories.
Social Security research/statistics,SSA,government admin/statistics,retirement benefits; disability; beneficiaries,national/state,download/web monitor,P0,https://www.ssa.gov/policy/,Annual/statistical datasets.
Consumer Sentinel / older-adult fraud,FTC,government enforcement/data,fraud; scams; losses; older consumers,national/state,web monitor/download,P0,https://www.ftc.gov/news-events/topics/protecting-consumers/older-adults,High-value consumer story source.
Older Americans / financial protection,CFPB,government research/data,financial exploitation; debt; mortgages; retirement finances,national,web monitor/RSS,P0,https://www.consumerfinance.gov/consumer-tools/educator-tools/resources-for-older-adults/,Consumer finance and exploitation.
VA data and statistics,U.S. Department of Veterans Affairs,government data,older veterans; health; long-term care,national/state,download/web monitor,P2,https://www.va.gov/vetdata/,Important older-adult subgroup.
Food security data,USDA ERS,government data,food insecurity; SNAP; older households,national/state,API/download,P1,https://www.ers.usda.gov/topics/food-nutrition-assistance/food-security-in-the-u-s,Nutrition-access and poverty angles.
