Publication,Website,Category,Total Score,Priority Tier,RSS Status,RSS Feed URL / Hub
Sixty and Me,https://sixtyandme.com/,Women 60+ lifestyle,19,Tier 1,,
Next Avenue,https://www.nextavenue.org/,50+ journalism,18,Tier 1,,
Being Patient,https://www.beingpatient.com/,Dementia journalism,17,Tier 1,,
Caregiving.com,https://www.caregiving.com/,Caregiving consumer,17,Tier 1,,
DailyCaring,https://dailycaring.com/,Family caregiving,17,Tier 1,,
GOBankingRates,https://www.gobankingrates.com/retirement/,Personal finance/retirement,17,Tier 1,,
Retirement Living,https://www.retirementliving.com/,Retirement consumer resource,17,Tier 1,,
Seniors Guide,https://www.seniorsguide.com/,Senior living consumer,17,Tier 1,,
50Plus-Today,https://50plus-today.com/,50+ lifestyle,16,Tier 2,,
Ageist,https://www.ageist.com/,Modern aging/longevity,16,Tier 2,,
AgingCare,https://www.agingcare.com/,Family caregiving,16,Tier 2,,
Apartment Therapy,https://www.apartmenttherapy.com/,Home/lifestyle,16,Tier 2,,
Caring.com,https://www.caring.com/,Senior care marketplace/editorial,16,Tier 2,,
Family Caregiver Alliance,https://www.caregiver.org/,Caregiving nonprofit resource,16,Tier 2,,
National Council on Aging,https://www.ncoa.org/,Older adult nonprofit consumer,16,Tier 2,,
SeniorLiving.org,https://www.seniorliving.org/,Senior living consumer resource,16,Tier 2,,
The Senior List,https://www.theseniorlist.com/,Senior consumer reviews,16,Tier 2,,
USAging,https://www.usaging.org/resources,Aging network consumer resources,16,Tier 2,,
Where You Live Matters,https://www.whereyoulivematters.org/,Senior housing consumer education,16,Tier 2,,
After Fifty Living,https://www.afterfiftyliving.com/,50+ lifestyle,15,Tier 2,,
Bankrate Retirement,https://www.bankrate.com/retirement/,Personal finance,15,Tier 2,,
Forbes Retirement,https://www.forbes.com/retirement/,Finance/retirement,15,Tier 2,,
Yahoo Finance Retirement,https://finance.yahoo.com/topic/retirement/,Finance/retirement,15,Tier 2,,
AARP,https://www.aarp.org/,50+ general interest,14,Tier 2,,
Boldin,https://www.boldin.com/retirement/,Retirement planning,14,Tier 2,,
Business Insider,https://www.businessinsider.com/,General consumer/business news,14,Tier 2,,
Kiplinger,https://www.kiplinger.com/retirement,Personal finance/retirement,14,Tier 2,,
Realtor.com News,https://www.realtor.com/news/,Housing consumer news,14,Tier 2,,
USA Today,https://www.usatoday.com/,General consumer news,14,Tier 2,,
Alzheimer's Association,https://www.alz.org/,Dementia consumer/nonprofit,13,Tier 3,,
Better Homes & Gardens,https://www.bhg.com/,Home/lifestyle,13,Tier 3,,
Consumer Reports,https://www.consumerreports.org/,Consumer advocacy,13,Tier 3,,
Erickson Senior Living,https://www.ericksonseniorliving.com/,Senior living provider media,13,Tier 3,,
Experience Life,https://experiencelife.lifetime.life/,Health/lifestyle,13,Tier 3,,
First for Women,https://www.firstforwomen.com/,Women's lifestyle,13,Tier 3,,
MarketWatch Retirement,https://www.marketwatch.com/retirement,Finance/retirement,13,Tier 3,,
NPR,https://www.npr.org/,Public media,13,Tier 3,,
Prevention,https://www.prevention.com/,Health/lifestyle,13,Tier 3,,
Senior Planet,https://seniorplanet.org/,Older adult lifestyle & tech,13,Tier 3,,
U.S. News Retirement,https://money.usnews.com/money/retirement,Retirement consumer,13,Tier 3,,
Woman's World,https://www.womansworld.com/,Women's lifestyle,13,Tier 3,,
Sisters From AARP,https://www.sistersletter.com/,Black women 40+,12,Tier 3,,
The Ethel,https://www.aarpethel.com/,Women 55+ lifestyle,12,Tier 3,,
The Guardian US,https://www.theguardian.com/us,General consumer news,12,Tier 3,,
Healthline,https://www.healthline.com/,Consumer health,11,Tier 3,,
Senior Lifestyle Blog,https://www.seniorlifestyle.com/resources/blog/,Senior living provider media,11,Tier 3,,
Verywell Health,https://www.verywellhealth.com/,Consumer health,11,Tier 3,,
WebMD Healthy Aging,https://www.webmd.com/healthy-aging/,Consumer health,11,Tier 3,,
Acts Retirement-Life Communities,https://www.actsretirement.org/latest-retirement-news/,Senior living provider media,10,Watchlist,,
National Institute on Aging,https://www.nia.nih.gov/,Government consumer health,10,Watchlist,,
SilverSneakers,https://www.silversneakers.com/blog/,Active aging,10,Watchlist,,
